codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-01,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-01,89.45833333333333,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-02,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-02,84.91666666666666,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-03,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-03,80.83333333333333,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-04,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-04,80.5,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-05,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-05,88.08333333333333,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-06,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-06,80.52173913043478,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-07,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-07,84.70833333333333,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-08,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-08,89.5,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-09,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-09,90.29166666666666,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-10,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-10,87.04166666666666,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-11,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-11,87.41666666666666,%
0026125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,2015-01-12,100.0,%
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2015-01-12,91.08333333333331,%
