codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-01,4.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-02,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-03,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-04,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-05,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-06,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-07,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-08,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-09,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-10,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-11,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-12,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-13,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-14,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-15,0.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-16,0.4,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-17,1.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-18,4.9,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-19,4.9,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-20,1.6,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-21,10.7,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-22,11.0,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-23,15.5,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-24,6.6,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-25,1.7,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-26,1.3,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-27,0.1,mm
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-28,0.0,mm
