codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-01,89.08333333333333,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-02,83.875,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-03,77.70833333333333,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-04,80.16666666666666,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-05,84.54166666666666,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-06,76.125,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-07,73.58333333333333,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-08,84.875,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-09,90.75,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-10,84.95652173913044,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-11,84.45833333333333,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-12,79.29166666666666,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-13,83.58333333333333,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-14,84.625,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-15,84.125,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-16,87.58333333333333,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-17,93.41666666666666,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-18,91.04166666666666,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-19,93.20833333333331,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-20,94.28571428571428,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-21,94.34782608695652,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-22,94.41666666666666,%
0021215190,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,2015-01-23,93.66666666666666,%
