codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-15,7.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-16,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-17,4.5,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-18,1.2,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-19,7.3,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-20,13.6,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-21,4.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-22,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-23,5.2,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-24,8.2,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-25,20.6,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-26,19.8,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-27,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-28,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-29,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-06-30,4.5,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-01,14.5,mm
0026155503,PLANALTO  - AUT,CALDAS,MANIZALES,2016-07-01,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-02,1.3,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-03,6.7,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-04,5.5,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-05,14.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-06,14.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-07,5.2,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-08,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-09,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-10,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-11,3.3,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-12,1.4,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-13,3.6,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-14,2.6,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-15,13.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-16,18.5,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-17,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-18,1.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-19,0.4,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-20,0.4,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-21,4.5,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-22,2.3,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-23,0.3,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-24,2.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-25,11.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-26,8.8,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-27,1.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-28,1.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-29,0.4,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-30,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-07-31,0.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-01,0.8,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-02,16.4,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-03,18.4,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-04,5.9,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-05,4.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-06,1.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-07,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-08,0.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-09,15.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-10,5.1,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-11,0.4,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-12,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-13,2.9,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-14,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-15,0.3,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-16,0.9,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-17,0.0,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-18,5.2,mm
0023025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,2016-08-19,0.5,mm
